,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Natsume's Book of Friends Season 4,TV,13,Finished Airing,"Jan 3, 2012 to Mar 27, 2012",Winter 2012,Tuesdays at 01:30 (JST),Brain's Base,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,8.66,802,202328,1727,7457,119189,3547,1919,70216,202328,24903,28428,23621,9883,2631,802,211,93,58,364
Rascal Does Not Dream of a Dreaming Girl,Movie,1,Finished Airing,"Jun 15, 2019",,,CloverWorks,"['Supernatural', 'Drama', 'Romance', 'School']",1 hr. 30 min.,PG-13 - Teens 13 or older,8.66,341,437567,6962,9945,326987,2446,1080,97109,437567,76087,90109,64090,25125,7775,2869,1441,682,430,631
Gurren Lagann,TV,27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007",Spring 2007,Sundays at 08:30 (JST),Gainax,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Mecha']",24 min. per ep.,PG-13 - Teens 13 or older,8.65,51,1291162,65641,75463,850161,59781,44808,260949,1291162,232641,206611,159955,82155,30213,14471,6111,2547,1446,2165
Violet Evergarden - Statistics,TV,13,Finished Airing,"Jan 11, 2018 to Apr 5, 2018",Winter 2018,Thursdays at 00:00 (JST),Kyoto Animation,"['Slice of Life', 'Drama', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,8.65,57,1197174,37610,100496,719308,41563,37586,298221,1197174,197986,181149,141013,65672,25892,11813,5157,1919,908,1616
Natsume's Book of Friends Season 6,TV,11,Finished Airing,"Apr 12, 2017 to Jun 21, 2017",Spring 2017,Wednesdays at 01:35 (JST),Shuka,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,8.64,1116,144355,862,8420,68300,2702,1663,63270,144355,14357,15870,13625,5816,1535,561,142,53,32,436
The Disappearance of Haruhi Suzumiya,Movie,1,Finished Airing,"Feb 6, 2010",,,Kyoto Animation,"['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",2 hr. 42 min.,PG-13 - Teens 13 or older,8.64,276,510235,11442,12023,334349,5216,4062,154585,510235,75608,81717,61232,29710,9773,3572,1178,423,295,731
Attack on Titan Season 3,TV,12,Finished Airing,"Jul 23, 2018 to Oct 15, 2018",Summer 2018,Mondays at 00:35 (JST),Wit Studio,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),8.63,32,1488527,14515,65764,1259614,10816,6505,145828,1488527,256611,325876,270125,97115,24343,7527,2983,1175,562,1996
Death Note - Statistics,TV,37,Finished Airing,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,Wednesdays at 00:56 (JST),Madhouse,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),8.63,1,2871913,130836,139739,2377222,83047,88573,183332,2871913,615451,598850,465709,223229,75141,30581,11421,4031,2436,3941
To Your Eternity,TV,20,Currently Airing,"Apr 12, 2021 to ?",Spring 2021,Mondays at 22:50 (JST),Brain's Base,"['Adventure', 'Drama', 'Shounen', 'Supernatural']",25 min. per ep.,R - 17+ (violence & profanity),8.63,401,373508,3972,215944,5,5604,2763,149192,373508,17859,23350,18118,6565,1825,701,244,116,53,211
Mushishi Zoku Shou: Suzu no Shizuku - Statistics,Movie,1,Finished Airing,"May 16, 2015",,,Artland,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",47 min.,PG-13 - Teens 13 or older,8.62,1467,102115,177,2760,53700,1105,598,43952,102115,10195,12797,10820,4048,966,333,96,39,28,596
