,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Major S1 - Statistics,TV,26,Finished Airing,"Nov 13, 2004 to May 21, 2005",Fall 2004,Saturdays at 18:00 (JST),Studio Hibari,"['Comedy', 'Sports', 'Drama', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,8.26,1714,84100,1207,2839,56321,1809,1475,21656,84100,7815,11277,13705,7331,2191,789,214,99,54,133
Major S3 - Statistics,TV,26,Finished Airing,"Jan 6, 2007 to Jun 30, 2007",Winter 2007,Unknown,Studio Hibari,"['Drama', 'Shounen', 'Sports']",25 min. per ep.,PG-13 - Teens 13 or older,8.26,2166,58592,328,1109,49803,513,519,6648,58592,6472,9720,12250,6073,1784,545,150,59,36,111
Detective Conan: Episode One - The Great Detective Turned Small - Statistics,Special,1,Finished Airing,"Dec 9, 2016",,,TMS Entertainment,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",1 hr. 33 min.,PG-13 - Teens 13 or older,8.25,3507,23737,45,1008,16519,382,452,5376,23737,2450,2702,3060,1812,632,235,114,33,14,68
Kaiji: Against All Rules,TV,26,Finished Airing,"Apr 6, 2011 to Sep 28, 2011",Spring 2011,Wednesdays at 00:59 (JST),Madhouse,"['Game', 'Psychological', 'Thriller', 'Seinen']",24 min. per ep.,R - 17+ (violence & profanity),8.25,1091,148618,2041,5823,98325,3596,2102,38772,148618,13278,22963,26500,12967,4037,1355,549,195,92,176
Honey and Clover II,TV,12,Finished Airing,"Jun 30, 2006 to Sep 15, 2006",Summer 2006,Fridays at 00:45 (JST),J.C.Staff,"['Drama', 'Josei', 'Romance', 'Slice of Life']",23 min. per ep.,PG-13 - Teens 13 or older,8.25,1598,93185,892,2080,60859,1920,1265,27061,93185,9712,12891,13589,7665,2806,1200,450,157,96,159
Horimiya - Statistics,TV,13,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,Sundays at 00:30 (JST),CloverWorks,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.25,179,649929,16076,163575,323700,11354,10797,140503,649929,62145,91346,105559,53327,16531,6481,2462,854,371,930
Black Butler: Book of the Atlantic,Movie,1,Finished Airing,"Jan 21, 2017",,,A-1 Pictures,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']",1 hr. 40 min.,R - 17+ (violence & profanity),8.25,1113,145369,1061,3276,90522,1188,649,49734,145369,14014,15401,18026,10604,3707,1332,466,162,86,305
Non Non Biyori Movie: Vacation - Statistics,Movie,1,Finished Airing,"Aug 25, 2018",,,SILVER LINK.,"['Slice of Life', 'Comedy', 'Seinen']",1 hr. 11 min.,PG-13 - Teens 13 or older,8.25,2316,52415,145,1437,27895,486,215,22382,52415,3550,5413,8012,3774,858,284,68,19,16,23
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero - Statistics,Special,1,Finished Airing,"Dec 3, 2015",,,White Fox,"['Sci-Fi', 'Thriller']",24 min.,PG-13 - Teens 13 or older,8.25,841,193190,296,3482,149433,1229,460,38586,193190,19614,26072,35006,16848,4849,1698,550,201,198,428
My Teen Romantic Comedy SNAFU TOO!,TV,13,Finished Airing,"Apr 3, 2015 to Jun 26, 2015",Spring 2015,Fridays at 01:28 (JST),feel.,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.25,126,791445,14395,28554,645512,10384,7241,99754,791445,87036,141019,166747,80369,24410,8526,3350,1187,516,723
Food Wars! Shokugeki no Soma,TV,24,Finished Airing,"Apr 4, 2015 to Sep 26, 2015",Spring 2015,Saturdays at 02:25 (JST),J.C.Staff,"['Ecchi', 'School', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,8.24,52,1279023,21042,73226,976810,29671,31369,167947,1279023,121894,208036,254664,134674,38976,14262,5245,2032,1181,1703
SKET Dance - Statistics,TV,77,Finished Airing,"Apr 7, 2011 to Sep 27, 2012",Spring 2011,Thursdays at 18:00 (JST),Tatsunoko Production,"['Comedy', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.24,848,192544,2910,17490,73534,16115,14915,70490,192544,11809,18162,21136,12814,5297,2739,948,332,160,201
Scissor Seven,ONA,10,Finished Airing,"Apr 25, 2018 to Jun 20, 2018",,,"None found, add some","['Action', 'Mystery', 'Comedy', 'Super Power', 'Drama', 'Romance', 'Martial Arts']",14 min. per ep.,R - 17+ (violence & profanity),7.92,3296,26987,397,1502,16283,539,523,8140,26987,1759,2687,4604,3116,915,327,116,55,27,41
xxxHOLiC Kei - Statistics,TV,13,Finished Airing,"Apr 4, 2008 to Jun 27, 2008",Spring 2008,Unknown,Production I.G,"['Mystery', 'Comedy', 'Psychological', 'Supernatural', 'Drama']",24 min. per ep.,PG-13 - Teens 13 or older,8.24,1300,120241,503,3944,77814,3037,2121,33325,120241,9693,15568,18277,9960,3146,1051,283,116,70,130
Douluo Dalu: Hanhai Qian Kun - Statistics,ONA,13,Finished Airing,"Nov 21, 2020 to Feb 13, 2021",,,Sparkly Key Animation Studio,"['Action', 'Adventure', 'Historical', 'Romance', 'Martial Arts', 'Fantasy']",21 min. per ep.,PG-13 - Teens 13 or older,8.24,9442,1750,5,68,1430,20,30,202,1750,285,233,289,137,32,9,4,1,2,6
Fate/stay night: Heaven's Feel - I. Presage Flower,Movie,1,Finished Airing,"Oct 14, 2017",,,ufotable,"['Action', 'Fantasy', 'Magic', 'Supernatural']",2 hr.,R - 17+ (violence & profanity),8.24,506,305187,1887,6527,190519,1928,819,105394,305187,23352,41605,53878,23320,6368,2159,883,448,211,311
Initial D Final Stage - Statistics,TV,4,Finished Airing,"May 16, 2014 to Jun 22, 2014",Spring 2014,Unknown,SynergySP,"['Sports', 'Cars', 'Seinen']",27 min. per ep.,PG-13 - Teens 13 or older,8.24,1577,94506,580,2351,68247,833,579,22496,94506,10206,11373,14798,8078,2714,1000,409,112,48,181
Puella Magi Madoka Magica the Movie Part 1: Beginnings,Movie,1,Finished Airing,"Oct 6, 2012",,,Shaft,"['Psychological', 'Drama', 'Magic', 'Thriller']",2 hr. 10 min.,PG-13 - Teens 13 or older,8.24,962,167313,820,2281,122331,1330,910,40461,167313,18091,20548,26174,13570,4643,1875,634,306,157,405
Detective Conan: The Jet Black Chaser,Movie,1,Finished Airing,"Apr 18, 2009",,,Tokyo Movie Shinsha,"['Action', 'Police', 'Mystery', 'Shounen']",1 hr. 51 min.,PG-13 - Teens 13 or older,8.23,2437,47777,52,786,41049,277,334,5331,47777,5252,6601,8233,4701,1451,526,120,85,21,249
Ace of Diamond Act II,TV,52,Finished Airing,"Apr 2, 2019 to Mar 31, 2020",Spring 2019,Tuesdays at 17:55 (JST),Madhouse,"['Comedy', 'School', 'Shounen', 'Sports']",24 min. per ep.,PG-13 - Teens 13 or older,8.23,2112,60986,599,11294,31695,2242,1216,14539,60986,4637,7387,9591,4723,1317,542,176,63,21,113
Hajime no Ippo: Mashiba vs. Kimura - Statistics,OVA,1,Finished Airing,"Sep 5, 2003",,,Madhouse,"['Comedy', 'Sports', 'Shounen']",1 hr. 1 min.,PG-13 - Teens 13 or older,8.23,1745,81930,130,1090,69281,420,324,10815,81930,7851,12934,17911,8867,2183,615,132,94,32,238
In This Corner of the World,Movie,1,Finished Airing,"Nov 12, 2016",,,MAPPA,"['Historical', 'Drama', 'Seinen']",2 hr. 48 min.,PG-13 - Teens 13 or older,8.23,1191,134694,1007,3711,67561,1356,603,61463,134694,9593,15202,17100,9032,2914,1132,390,124,73,96
Kiki's Delivery Service,Movie,1,Finished Airing,"Jul 29, 1989",,,Studio Ghibli,"['Adventure', 'Comedy', 'Drama', 'Magic', 'Romance', 'Fantasy']",1 hr. 43 min.,G - All Ages,8.23,355,413975,3587,4338,354790,1646,572,52629,413975,46473,67609,86015,49834,13326,4185,937,268,109,131
Major S2 - Statistics,TV,26,Finished Airing,"Dec 10, 2005 to Jun 10, 2006",Winter 2006,Unknown,Studio Hibari,"['Comedy', 'Drama', 'Shounen', 'Sports']",25 min. per ep.,PG-13 - Teens 13 or older,8.23,2119,60853,284,1132,51963,540,542,6676,60853,6362,10106,13114,6582,1827,564,163,59,35,125
Major S4 - Statistics,TV,26,Finished Airing,"Jan 5, 2008 to Jun 28, 2008",Winter 2008,Unknown,SynergySP,"['Comedy', 'Drama', 'Shounen', 'Sports']",24 min. per ep.,PG-13 - Teens 13 or older,8.23,2236,55437,180,1273,46697,589,504,6374,55437,5796,8816,11819,5924,1720,545,135,63,15,85
Whisper of the Heart,Movie,1,Finished Airing,"Jul 15, 1995",,,Studio Ghibli,"['Slice of Life', 'Drama', 'Romance', 'Shoujo']",1 hr. 51 min.,G - All Ages,8.23,646,247533,2981,3550,182047,1483,556,59897,247533,26777,34310,41574,24884,8075,2789,769,258,108,201
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season - Statistics,TV,25,Finished Airing,"Oct 2, 2016 to Apr 2, 2017",Fall 2016,Sundays at 17:00 (JST),Sunrise,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Space']",24 min. per ep.,R - 17+ (violence & profanity),8.23,1437,104882,1229,8581,71789,3488,2033,18991,104882,10645,16738,17348,8308,3022,1361,730,297,163,210
Trigun - Statistics,TV,26,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,Thursdays at 01:15 (JST),Madhouse,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.23,213,589541,11838,31224,358257,26872,14609,158579,589541,52021,78733,90470,51991,16229,6101,2054,704,337,543
ReLIFE: Kanketsu-hen - Statistics,Special,4,Finished Airing,"Mar 21, 2018",,,TMS Entertainment,"['Romance', 'School', 'Slice of Life']",23 min. per ep.,PG-13 - Teens 13 or older,8.22,591,268603,1202,,,,,,,,,,,,,,,,
A Certain Scientific Railgun T,TV,25,Finished Airing,"Jan 10, 2020 to Sep 25, 2020",Winter 2020,Fridays at 22:00 (JST),J.C.Staff,"['Action', 'Sci-Fi', 'Super Power']",24 min. per ep.,R - 17+ (violence & profanity),8.22,1003,160374,2759,23279,62231,4756,2366,67742,160374,13003,14146,18962,9099,2476,844,268,121,42,83
xxxHOLiC Rou - Statistics,OVA,2,Finished Airing,"Apr 23, 2010 to Mar 9, 2011",,,Production I.G,"['Mystery', 'Supernatural']",35 min. per ep.,PG-13 - Teens 13 or older,8.22,2152,59311,163,2063,38764,994,452,17038,59311,4982,7038,8999,4734,1522,456,139,54,30,243
"Night Is Short, Walk on Girl",Movie,1,Finished Airing,"Apr 7, 2017",,,Science SARU,"['Comedy', 'Romance']",1 hr. 32 min.,R+ - Mild Nudity,8.22,1666,87516,1192,2788,42297,939,487,41005,87516,5548,10403,10845,5348,1778,688,287,121,105,266
Bakuman. - Statistics,TV,25,Finished Airing,"Oct 2, 2010 to Apr 2, 2011",Fall 2010,Unknown,J.C.Staff,"['Comedy', 'Drama', 'Romance', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.22,270,515480,8491,26987,302875,21177,17306,147135,515480,40029,64804,83628,43567,13868,5445,1592,603,332,368
Card Captor Sakura Movie 2: The Sealed Card,Movie,1,Finished Airing,"Jul 15, 2000",,,Madhouse,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",1 hr. 22 min.,PG - Children,8.22,1510,99299,374,1118,84568,563,411,12639,99299,11867,14391,16492,10607,3538,1264,272,119,74,77
Chihayafuru - Statistics,TV,25,Finished Airing,"Oct 5, 2011 to Mar 28, 2012",Fall 2011,Wednesdays at Unknown,Madhouse,"['Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports']",22 min. per ep.,PG-13 - Teens 13 or older,8.22,406,370401,6588,22839,178617,17445,13712,137788,370401,22091,41257,49260,25117,8336,3555,1095,466,215,256
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3 - Statistics,Movie,4,Finished Airing,"Nov 29, 2019",,,Production I.G,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",25 min. per ep.,R - 17+ (violence & profanity),8.22,4199,16269,48,501,9246,146,134,6242,16269,1014,1970,2850,1121,245,77,27,47,8,20
The Tale of the Princess Kaguya,Movie,1,Finished Airing,"Nov 23, 2013",,,Studio Ghibli,"['Fantasy', 'Historical']",2 hr. 17 min.,G - All Ages,8.22,1004,160609,1620,2683,104015,1297,636,51978,160609,16326,20430,23381,13421,5030,1901,727,260,132,120
Little Busters! ~Refrain~,TV,13,Finished Airing,"Oct 5, 2013 to Dec 28, 2013",Fall 2013,Unknown,J.C.Staff,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.22,1159,138826,1872,5158,84904,3351,2875,42538,138826,13626,17355,18064,10641,4249,1838,795,308,161,172
Dororo - Statistics,TV,24,Finished Airing,"Jan 7, 2019 to Jun 24, 2019",Winter 2019,Mondays at 22:30 (JST),"Tezuka Productions,       MAPPA","['Action', 'Adventure', 'Demons', 'Historical', 'Samurai', 'Shounen', 'Supernatural']",24 min. per ep.,R - 17+ (violence & profanity),8.21,125,790637,11952,102325,435500,36761,26721,189330,790637,60320,107049,132474,67570,20432,7329,2437,844,321,472
Douluo Dalu: Qian Hua Xi Jin - Statistics,ONA,13,Finished Airing,"Feb 22, 2020 to May 16, 2020",,,Sparkly Key Animation Studio,"['Action', 'Adventure', 'Historical', 'Romance', 'Martial Arts', 'Fantasy']",20 min. per ep.,PG-13 - Teens 13 or older,8.21,7027,4467,30,238,3252,46,83,848,4467,576,496,699,331,124,38,16,4,4,22
Dr. Stone: Stone Wars - Statistics,TV,11,Finished Airing,"Jan 14, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 22:30 (JST),TMS Entertainment,"['Sci-Fi', 'Adventure', 'Comedy', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.21,214,587518,5257,118861,287250,9364,3869,168174,587518,38522,69114,99227,47410,11343,3073,987,321,144,284
Fate/stay night [Unlimited Blade Works],TV,12,Finished Airing,"Oct 12, 2014 to Dec 28, 2014",Fall 2014,Sundays at 00:00 (JST),ufotable,"['Action', 'Supernatural', 'Magic', 'Fantasy']",28 min. per ep.,R - 17+ (violence & profanity),8.21,121,803166,12833,27728,642051,10615,6934,115838,803166,75395,140373,170961,81902,24322,8830,3638,1466,634,702
Girls und Panzer der Film,Movie,1,Finished Airing,"Nov 21, 2015",,,Actas,"['Military', 'School', 'Sports']",2 hr.,PG-13 - Teens 13 or older,8.21,1725,83140,1107,1843,57168,646,620,22863,83140,8289,11813,12596,7388,2469,982,360,148,79,180
Golden Kamuy: Season 2,TV,12,Finished Airing,"Oct 8, 2018 to Dec 24, 2018",Fall 2018,Mondays at 23:00 (JST),Geno Studio,"['Action', 'Adventure', 'Historical', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),8.21,1238,128851,626,8331,85702,3192,1632,29994,128851,7796,19020,28217,10919,2519,784,243,80,29,76
When They Cry: Kai,TV,24,Finished Airing,"Jul 6, 2007 to Dec 18, 2007",Summer 2007,Fridays at 02:30 (JST),Studio Deen,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",24 min. per ep.,R - 17+ (violence & profanity),8.21,366,405283,6264,17098,266340,12677,9922,99246,405283,42975,55614,58383,34260,13697,5759,2713,1127,684,644
InuYasha: The Final Act,TV,26,Finished Airing,"Oct 4, 2009 to Mar 30, 2010",Fall 2009,Sundays at 02:20 (JST),Sunrise,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.21,716,225911,1767,9107,159450,5934,3727,47693,225911,24688,25848,32204,21664,7302,2773,844,278,132,250
The Disastrous Life of Saiki K. Final Arc,Special,1,Finished Airing,"Dec 28, 2018",,,"J.C.Staff,       Egg Firm","['Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural']",50 min.,PG-13 - Teens 13 or older,8.21,1174,136275,240,2881,112502,629,435,19828,136275,11991,20202,29332,14509,3554,1025,266,90,52,271
Noragami Aragoto - Statistics,TV,13,Finished Airing,"Oct 3, 2015 to Dec 26, 2015",Fall 2015,Saturdays at 01:05 (JST),Bones,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.2,70,1132077,10182,43471,915527,18004,10618,144457,1132077,101778,185792,236924,123041,35865,12222,3308,1011,484,518
One Piece Movie 14: Stampede - Statistics,Movie,1,Finished Airing,"Aug 9, 2019",,,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",1 hr. 41 min.,PG-13 - Teens 13 or older,8.2,1615,91685,433,1679,70426,431,245,18904,91685,10916,13093,15903,8929,3182,1088,418,212,90,184
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari - Statistics,Special,1,Finished Airing,"Aug 24, 2013",,,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",1 hr. 46 min.,PG-13 - Teens 13 or older,8.2,2469,46393,63,1118,37763,342,378,6792,46393,5727,5086,6611,3983,1526,498,164,67,83,290
Senki Zesshou Symphogear XV - Statistics,TV,13,Finished Airing,"Jul 7, 2019 to Sep 29, 2019",Summer 2019,Sundays at 01:00 (JST),Satelight,"['Action', 'Music', 'Sci-Fi']",23 min. per ep.,PG-13 - Teens 13 or older,8.2,3114,29918,652,2630,11644,468,667,14509,29918,3010,2184,2249,1447,636,306,140,59,39,120
Revolutionary Girl Utena,TV,39,Finished Airing,"Apr 2, 1997 to Dec 24, 1997",Spring 1997,Wednesdays at 18:00 (JST),J.C.Staff,"['Comedy', 'Drama', 'Fantasy', 'Mystery', 'Psychological', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,8.2,970,166193,6146,13078,54676,10312,5555,82572,166193,11612,11071,11576,8018,3660,1903,973,420,282,463
Welcome to the Ballroom,TV,24,Finished Airing,"Jul 9, 2017 to Dec 17, 2017",Summer 2017,Sundays at 02:08 (JST),Production I.G,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",24 min. per ep.,PG-13 - Teens 13 or older,8.2,665,240225,2503,21975,127005,10615,11743,68887,240225,16097,29367,36409,18231,6242,2554,1050,353,175,218
Berserk: The Golden Age Arc III - The Advent,Movie,1,Finished Airing,"Feb 1, 2013",,,Studio 4°C,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']",1 hr. 50 min.,R+ - Mild Nudity,8.2,959,167984,1125,2599,140144,795,652,23794,167984,19226,28106,32909,16613,5740,2087,977,360,238,414
Bungo Stray Dogs 2,TV,12,Finished Airing,"Oct 6, 2016 to Dec 16, 2016",Fall 2016,Fridays at 22:30 (JST),Bones,"['Action', 'Mystery', 'Super Power', 'Supernatural', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),8.2,239,554628,5001,29206,412177,11973,6535,94737,554628,47406,80763,111062,54562,15036,5136,1532,447,225,238
Fruits Basket 1st Season - Statistics,TV,25,Finished Airing,"Apr 6, 2019 to Sep 21, 2019",Spring 2019,Saturdays at 01:23 (JST),TMS Entertainment,"['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice of Life', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.2,315,465792,7988,58978,234560,22591,19367,130296,465792,35891,50935,64917,36154,12399,5271,1833,671,307,421
Hunter x Hunter: Greed Island - Statistics,OVA,8,Finished Airing,"Feb 5, 2003 to Apr 16, 2003",,,Nippon Animation,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",22 min. per ep.,PG-13 - Teens 13 or older,8.2,1283,123290,241,2465,103302,894,844,15785,123290,13276,16750,21233,12126,3737,1248,420,168,138,306
Liz and the Blue Bird,Movie,1,Finished Airing,"Apr 21, 2018",,,Kyoto Animation,"['Drama', 'Music', 'School']",1 hr. 30 min.,PG-13 - Teens 13 or older,8.2,1631,90626,1533,2906,40058,979,446,46237,90626,6691,8473,9340,5237,2032,934,350,136,68,115
Major: Message - Statistics,OVA,1,Finished Airing,"Dec 17, 2010",,,SynergySP,"['Comedy', 'Drama', 'Shounen', 'Sports']",24 min.,PG-13 - Teens 13 or older,8.2,3361,25974,65,429,20759,178,237,4371,25974,2942,3540,4636,2630,847,327,69,41,20,86
Aria the Natural - Statistics,TV,26,Finished Airing,"Apr 3, 2006 to Sep 25, 2006",Spring 2006,Mondays at 01:00 (JST),Hal Film Maker,"['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']",24 min. per ep.,G - All Ages,8.19,1996,66030,713,3506,30015,2756,1570,28183,66030,4892,6304,6816,3979,1560,782,234,125,61,304
Asobi Asobase: Workshop of Fun,TV,12,Finished Airing,"Jul 8, 2018 to Sep 23, 2018",Summer 2018,Sundays at 21:00 (JST),Lerche,"['Comedy', 'School', 'Seinen']",23 min. per ep.,PG-13 - Teens 13 or older,8.19,489,317650,4067,26233,173686,11826,11907,93998,317650,23306,37577,50246,25969,8182,3192,1266,559,316,288
Black Lagoon: The Second Barrage - Statistics,TV,12,Finished Airing,"Oct 3, 2006 to Dec 19, 2006",Fall 2006,Tuesdays at 01:59 (JST),Madhouse,"['Action', 'Seinen']",24 min. per ep.,R - 17+ (violence & profanity),8.19,372,402291,2372,10300,319702,6224,2947,63118,402291,32267,68341,89082,43386,11806,3683,1057,359,143,282
Bungou Stray Dogs 3rd Season - Statistics,TV,12,Finished Airing,"Apr 12, 2019 to Jun 28, 2019",Spring 2019,Fridays at 22:30 (JST),Bones,"['Action', 'Mystery', 'Seinen', 'Super Power', 'Supernatural']",23 min. per ep.,R - 17+ (violence & profanity),8.19,417,362487,2983,23172,235160,7787,3564,92804,362487,28531,43635,64279,32289,8569,2757,812,312,141,313
Death Parade - Statistics,TV,12,Finished Airing,"Jan 10, 2015 to Mar 28, 2015",Winter 2015,Saturdays at 01:58 (JST),Madhouse,"['Game', 'Mystery', 'Psychological', 'Drama', 'Thriller']",23 min. per ep.,R - 17+ (violence & profanity),8.19,47,1327882,22150,65939,932453,37950,29335,262205,1327882,116257,204336,244014,133443,43570,15923,5474,1726,793,928
Digimon Adventure: Last Evolution Kizuna - Statistics,Movie,1,Finished Airing,"Feb 21, 2020",,,Yumeta Company,"['Action', 'Adventure', 'Comedy', 'Drama']",1 hr. 34 min.,PG-13 - Teens 13 or older,8.19,3251,27635,147,742,11787,256,184,14666,27635,1779,2168,2693,1506,529,190,74,46,16,32
Douluo Dalu: Haishen Zhi Guang - Statistics,ONA,13,Finished Airing,"Feb 20, 2021 to May 15, 2021",,,Sparkly Key Animation Studio,"['Action', 'Adventure', 'Historical', 'Romance', 'Martial Arts', 'Fantasy']",21 min. per ep.,PG-13 - Teens 13 or older,8.19,9339,1817,20,845,571,28,34,339,1817,246,151,185,87,24,3,4,1,1,4
Douluo Dalu: Jingying Sai - Statistics,ONA,52,Finished Airing,"Dec 1, 2018 to Nov 16, 2019",,,Sparkly Key Animation Studio,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']",20 min. per ep.,PG-13 - Teens 13 or older,8.19,4917,10917,150,3233,3962,310,381,3031,10917,1055,912,1177,639,248,112,54,29,19,74
